Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
10092,,,None,192.168.1.1,tcp,21,FTP Server Detection,An FTP server is listening on a remote port.,"It is possible to obtain the banner of the remote FTP server by
connecting to a remote port.",n/a,,"
The remote FTP banner is :

220 localhost.localdomain FTP server (GNU inetutils 1.9.4) ready.
"
10107,,,None,192.168.1.1,tcp,443,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
  remote web server.",n/a,,"The remote web server type is :

Boa/0.93.15"
10114,CVE-1999-0524,0,None,192.168.1.1,icmp,0,ICMP Timestamp Request Remote Date Disclosure,It is possible to determine the exact time set on the remote host.,"The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).",,"The difference between the local and remote clocks is 19457 seconds.
"
10267,,,None,192.168.1.1,tcp,22,SSH Server Type and Version Information,An SSH server is listening on this port.,"It is possible to obtain information about the remote SSH server by
sending an empty authentication request.",n/a,,"
SSH version : SSH-2.0-dropbear_0.48
SSH supported authentication : password
"
10287,,,None,192.168.1.1,udp,0,Traceroute Information,It was possible to obtain traceroute information.,Makes a traceroute to the remote host.,n/a,,"For your information, here is the traceroute from 192.168.1.6 to 192.168.1.1 : 
192.168.1.6
192.168.1.1

Hop Count: 1
"
10386,,,None,192.168.1.1,tcp,443,Web Server No 404 Error Code Check,The remote web server does not return 404 error codes.,"The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.",n/a,,"

CGI scanning will be disabled for this host because the host responds
to requests for non-existent URLs with HTTP code 302
rather than 404. The requested URL was : 

    https://_gateway/G8lmORjRytVp.html
"
10663,,3.3,Low,192.168.1.1,udp,67,DHCP Server Detection,"The remote DHCP server may expose information about the associated
network.","This script contacts the remote DHCP server (if any) and attempts to
retrieve information about the network layout. 

Some DHCP servers provide sensitive information such as the NIS domain
name, or network layout information such as the list of the network
web servers, and so on. 

It does not demonstrate any vulnerability, but a local attacker may
use DHCP to become intimately familiar with the associated network.","Apply filtering to keep this information off the network and remove
any options that are not in use.",,"
Nessus gathered the following information from the remote DHCP server :

  Master DHCP server of this network : 0.0.0.0
  IP address the DHCP server would attribute us : 192.168.1.6
  DHCP server(s) identifier : 192.168.1.1
  Netmask : 255.255.255.0
  Router : 192.168.1.1
  Domain name server(s) : 218.248.114.193 , 218.248.114.129

"
10863,,,None,192.168.1.1,tcp,443,SSL Certificate Information,This plugin displays the SSL certificate.,"This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.",n/a,,"Subject Name: 

Country: TW
State/Province: Hsinchu
Locality: lala
Organization: realtek
Organization Unit: realtek
Common Name: 192.168.1.1

Issuer Name: 

Country: TW
State/Province: HsinChu
Locality: lala
Organization: Realtek
Organization Unit: 12312
Common Name: 192.168.1.1

Serial Number: 01 

Version: 1

Signature Algorithm: MD5 With RSA Encryption

Not Valid Before: Jan 07 14:05:43 2008 GMT
Not Valid After: Jan 06 14:05:43 2009 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 1024 bits
Public Key: 00 CE 81 1F 16 B1 35 02 6D 9B 82 B3 07 E7 77 8C 49 5D 04 08 
            17 D8 86 2C AB 26 B7 81 1C 5F E4 75 A8 AC BF E5 B1 16 AC C3 
            79 9E 0E FF C4 68 64 E7 0E 1D 34 B1 8A 87 79 FF BB 23 86 0E 
            23 48 39 16 4D 8B A4 20 CA 6D 31 C0 8C E7 D2 C4 5B 9B 8B A8 
            38 BB 1E C2 14 6C A2 E8 79 85 24 4D 5C B9 87 3A A7 6A FB 8A 
            00 8A 00 90 F9 54 B4 15 E4 88 D3 7D 34 01 8B A0 B3 97 86 CB 
            56 E8 AA 88 4E 2F 9E C2 2F 
Exponent: 01 00 01 

Signature Length: 128 bytes / 1024 bits
Signature: 00 20 30 13 B1 61 F8 4E 44 63 E7 C0 61 4F 42 AC 9E 87 4F 62 
           6C 81 BF 12 A5 DB 49 32 44 72 9F 28 3F 32 A2 C4 21 A2 DF 41 
           A6 AE B1 C4 6F 06 28 A0 0C 98 59 B5 57 6B 88 A8 69 AC A6 D7 
           F8 BF 00 69 B0 1F 94 7E 13 DE A6 D8 09 18 50 31 A7 09 C5 75 
           D4 1D A9 37 25 1B BA B2 CD 52 28 D5 04 F0 0F F8 CE 83 50 49 
           C9 D5 FB 82 D1 A2 F4 F4 DC F2 CE 98 E4 0F 02 60 75 1C F1 09 
           38 E8 E2 32 78 E5 9E F6 EE 

Fingerprints : 

SHA-256 Fingerprint: E5 2B 3E CF C2 6A 11 9F BB 18 94 45 BE 9B DA 59 3B 7E B6 C7 
                     C0 61 CC 06 CF 67 45 51 E0 91 7B 0F 
SHA-1 Fingerprint: 27 96 DD 9B CD 0B F1 0B 79 A1 88 60 33 31 B9 F6 79 F0 CF D4 
MD5 Fingerprint: 91 21 16 24 14 99 58 64 9E 0B 01 97 FF 9C 77 8D 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIICPTCCAaYCAQEwDQYJKoZIhvcNAQEEBQAwZjELMAkGA1UEBhMCVFcxEDAOBgNVBAgTB0hzaW5DaHUxDTALBgNVBAcTBGxhbGExEDAOBgNVBAoTB1JlYWx0ZWsxDjAMBgNVBAsTBTEyMzEyMRQwEgYDVQQDEwsxOTIuMTY4LjEuMTAeFw0wODAxMDcxNDA1NDNaFw0wOTAxMDYxNDA1NDNaMGgxCzAJBgNVBAYTAlRXMRAwDgYDVQQIEwdIc2luY2h1MQ0wCwYDVQQHEwRsYWxhMRAwDgYDVQQKEwdyZWFsdGVrMRAwDgYDVQQLEwdyZWFsdGVrMRQwEgYDVQQDEwsxOTIuMTY4LjEuMTCBnzANBgkqhkiG9w0BAQEFAAOBjQAwgYkCgYEAzoEfFrE1Am2bgrMH53eMSV0ECBfYhiyrJreBHF/kdaisv+WxFqzDeZ4O/8RoZOcOHTSxiod5/7sjhg4jSDkWTYukIMptMcCM59LEW5uLqDi7HsIUbKLoeYUkTVy5hzqnavuKAIoAkPlUtBXkiNN9NAGLoLOXhstW6KqITi+ewi8CAwEAATANBgkqhkiG9w0BAQQFAAOBgQAgMBOxYfhORGPnwGFPQqyeh09ibIG/EqXbSTJEcp8oPzKixCGi30GmrrHEbwYooAyYWbVXa4ioaaym1/i/AGmwH5R+E96m2AkYUDGnCcV11B2pNyUburLNUijVBPAP+M6DUEnJ1fuC0aL09NzyzpjkDwJgdRzxCTjo4jJ45Z727g==
-----END CERTIFICATE-----"
11002,,,None,192.168.1.1,udp,53,DNS Server Detection,A DNS server is listening on the remote host.,"The remote service is a Domain Name System (DNS) server, which
provides a mapping between hostnames and IP addresses.","Disable this service if it is not needed or restrict access to
internal hosts only if the service is available externally.",https://en.wikipedia.org/wiki/Domain_Name_System,
11153,,,None,192.168.1.1,tcp,443,Service Detection (HELP Request),The remote service could be identified.,"It was possible to identify the remote service by its banner or by
looking at the error message it sends when it receives a 'HELP'
request.",n/a,,A web server seems to be running on this port.
